,date,1. open,2. high,3. low,4. close,5. volume,Date,Time
219,2019-05-01 11:30:00,214.44,215.31,213.68,214.11,7579814.0,2019-05-01,11:30:00
220,2019-05-01 12:30:00,214.11,214.68,213.26,214.1301,4791197.0,2019-05-01,12:30:00
221,2019-05-01 13:30:00,214.13,215.1,213.73,214.83,4390643.0,2019-05-01,13:30:00
222,2019-05-01 14:30:00,214.83,214.92,213.43,213.7442,5739146.0,2019-05-01,14:30:00
223,2019-05-01 15:30:00,213.74,213.74,210.45,210.52,8399236.0,2019-05-01,15:30:00
224,2019-05-02 09:30:00,209.84,212.65,209.5,211.4,0.0,2019-05-02,09:30:00
225,2019-05-02 10:30:00,211.4,212.0903,209.77,209.81,4462460.0,2019-05-02,10:30:00
226,2019-05-02 11:30:00,209.81,210.49,208.13,209.15,4798361.0,2019-05-02,11:30:00
227,2019-05-02 12:30:00,209.16,209.96,208.41,209.615,2932747.0,2019-05-02,12:30:00
228,2019-05-02 13:30:00,209.63,210.29,209.48,209.6,2328221.0,2019-05-02,13:30:00
229,2019-05-02 14:30:00,209.61,209.9,208.97,209.7199,2370134.0,2019-05-02,14:30:00
230,2019-05-02 15:30:00,209.7,209.7,208.67,208.93,2093350.0,2019-05-02,15:30:00
231,2019-05-03 09:30:00,210.73,211.46,210.23,210.7225,6068481.0,2019-05-03,09:30:00
232,2019-05-03 10:30:00,210.75,211.09,210.56,210.94,2864869.0,2019-05-03,10:30:00
233,2019-05-03 11:30:00,210.94,211.35,210.75,211.19,2053670.0,2019-05-03,11:30:00
234,2019-05-03 12:30:00,211.19,211.52,210.83,211.449,1671251.0,2019-05-03,12:30:00
235,2019-05-03 13:30:00,211.45,211.7,211.09,211.3145,1590864.0,2019-05-03,13:30:00
236,2019-05-03 14:30:00,211.31,211.4415,210.98,211.1851,1430337.0,2019-05-03,14:30:00
237,2019-05-03 15:30:00,211.18,211.81,211.08,211.78,2714488.0,2019-05-03,15:30:00
238,2019-05-06 09:30:00,204.25,208.71,203.5,207.5849,0.0,2019-05-06,09:30:00
239,2019-05-06 10:30:00,207.58,208.25,206.8,208.21200000000002,4703440.0,2019-05-06,10:30:00
240,2019-05-06 11:30:00,208.2245,208.35,206.8448,206.9298,2893877.0,2019-05-06,11:30:00
241,2019-05-06 12:30:00,206.93,207.43,206.53,207.415,2527680.0,2019-05-06,12:30:00
242,2019-05-06 13:30:00,207.44,207.95,207.32,207.87,1811018.0,2019-05-06,13:30:00
243,2019-05-06 14:30:00,207.86,208.84,207.84900000000002,208.541,3144783.0,2019-05-06,14:30:00
244,2019-05-06 15:30:00,208.56,208.75,208.32,208.6,2154620.0,2019-05-06,15:30:00
245,2019-05-07 09:30:00,205.88,207.4175,204.71,205.77,7988190.0,2019-05-07,09:30:00
246,2019-05-07 10:30:00,205.76,205.87,203.79,204.225,4808848.0,2019-05-07,10:30:00
247,2019-05-07 11:30:00,204.23,204.87,203.53,204.78,3619044.0,2019-05-07,11:30:00
248,2019-05-07 12:30:00,204.7861,204.96,201.8,202.55,3765725.0,2019-05-07,12:30:00
249,2019-05-07 13:30:00,202.58,202.81,201.47,201.94,4653264.0,2019-05-07,13:30:00
250,2019-05-07 14:30:00,201.92,202.24,200.85,201.62,5329808.0,2019-05-07,14:30:00
251,2019-05-07 15:30:00,201.61,202.97,200.825,202.9,4686961.0,2019-05-07,15:30:00
252,2019-05-08 09:30:00,202.0,204.98,201.75,203.5,7641494.0,2019-05-08,09:30:00
253,2019-05-08 10:30:00,203.51,205.33,202.97,204.73,4480807.0,2019-05-08,10:30:00
254,2019-05-08 11:30:00,204.75,204.95,203.01,203.25,3080852.0,2019-05-08,11:30:00
255,2019-05-08 12:30:00,203.27,204.52,203.03,204.1665,1974335.0,2019-05-08,12:30:00
256,2019-05-08 13:30:00,204.18,204.45,203.96,204.2743,1314437.0,2019-05-08,13:30:00
257,2019-05-08 14:30:00,204.2707,204.85,204.16,204.75,1634546.0,2019-05-08,14:30:00
258,2019-05-08 15:30:00,204.765,204.81,202.54,202.9,2748240.0,2019-05-08,15:30:00
259,2019-05-09 09:30:00,200.4,200.83,197.15,197.31,11675442.0,2019-05-09,09:30:00
260,2019-05-09 10:30:00,197.31,198.44,196.9,197.28,4556481.0,2019-05-09,10:30:00
261,2019-05-09 11:30:00,197.2852,199.24,197.18,198.95,3735748.0,2019-05-09,11:30:00
262,2019-05-09 12:30:00,198.95,201.41,198.95,200.51,4774595.0,2019-05-09,12:30:00
263,2019-05-09 13:30:00,200.49,201.68,200.4,201.19,2613842.0,2019-05-09,13:30:00
264,2019-05-09 14:30:00,201.19,201.51,199.05,200.27,3165266.0,2019-05-09,14:30:00
265,2019-05-09 15:30:00,200.27,200.9,199.93,200.67,2547139.0,2019-05-09,15:30:00
266,2019-05-10 09:30:00,197.419,198.85,195.43,195.58,8709454.0,2019-05-10,09:30:00
267,2019-05-10 10:30:00,195.55,195.69,192.77,193.85,8682503.0,2019-05-10,10:30:00
268,2019-05-10 11:30:00,193.87,195.77,193.07,195.46,4764488.0,2019-05-10,11:30:00
269,2019-05-10 12:30:00,195.44,196.92,195.03,196.11,3641291.0,2019-05-10,12:30:00
270,2019-05-10 13:30:00,196.11700000000002,197.0167,195.425,195.75,3606545.0,2019-05-10,13:30:00
271,2019-05-10 14:30:00,195.79,198.55,195.69,198.34,3827574.0,2019-05-10,14:30:00
